symbol,price,price_change,price_percent_change
STDP,463.74,-8.28,0.24%
XDRN,459.73,-6.82,-1.01%
CCYQ,130.48,-0.21,2.75%
SZL,256.51,-3.96,-1.78%
CPH,139.59,1.32,-1.7%
SDU,477.63,-2.98,-3.46%
FEJ,265.84,8.6,-3.71%
VKWY,214.4,9.85,-0.45%
DFX,375.18,-2.16,2.98%
OFJ,45.96,-1.41,-1.6%
TRJ,222.46,7.56,-3.16%
EZUM,488.27,-4.03,1.45%
XDFO,412.88,-2.47,-3.39%
VYT,97.64,7.07,-4.88%
BBDZ,329.83,-8.93,-1.45%
FDE,58.74,2.14,-0.97%
NLT,74.06,-9.37,0.42%
DPA,69.45,-4.76,2.38%
BGUJ,60.6,5.67,0.09%
ZFA,382.14,-3.13,-0.65%
ABL,213.25,-3.54,0.87%
UBC,137.44,4.92,-4.86%
EALQ,107.38,-9.5,-1.71%
GTE,151.4,1.36,-2.32%
RCH,342.29,6.87,-3.91%
LHX,50.97,8.71,-1.66%
FMF,384.39,1.22,3.63%
MYVK,399.81,-8.72,-2.1%
CYBV,116.38,-1.15,-4.12%
UXM,494.58,-5.01,-0.44%
UXR,105.51,9.86,3.41%
QEZL,445.52,-3.76,-3.89%
KBXT,482.33,-8.44,4.9%
SRO,12.1,0.05,-4.28%
DAWY,122.93,3.7,-0.62%
BEBH,262.37,-9.59,1.89%
IYI,147.4,-1.12,0.91%
OVZ,123.6,-1.15,-4.01%
JWI,291.89,-4.06,-3.31%
FGHJ,480.13,-4.34,-2.4%
CBH,266.29,1.06,-1.38%
JZOR,291.13,4.92,1.8%
GRT,76.85,-3.2,4.12%
MNUD,427.61,-0.37,0.42%
ZZO,64.94,-3.0,3.9%
CGX,390.68,-5.4,4.16%
ZHO,395.8,10.0,-0.61%
OXJI,372.01,-3.87,4.23%
VBPA,239.7,-2.14,-0.54%
YSZD,169.46,-8.6,0.77%
WEAN,446.89,1.61,4.33%
WPTS,277.32,1.18,1.72%
UEO,358.59,-1.19,3.71%
HSO,63.75,8.65,2.12%
RFJ,333.33,5.58,3.33%
SRJI,287.08,1.03,-2.85%
QVT,10.12,-5.45,1.04%
MBGF,445.27,-8.68,3.97%
YVVP,17.68,-7.19,4.67%
NHUA,193.22,3.77,0.77%
MVDK,301.96,4.67,-3.99%
GLC,119.19,-9.7,3.83%
DAA,284.65,-7.76,2.12%
DMGV,177.71,1.39,3.03%
STZ,391.47,-9.17,3.82%
WOX,304.63,2.0,-4.85%
KMBH,254.18,4.81,-4.4%
EOAG,483.41,1.57,4.67%
EWW,327.22,-8.12,0.33%
OCV,197.2,7.86,3.29%
LBU,187.83,8.98,-0.18%
MRU,301.48,2.24,-4.72%
TTI,299.45,-9.14,-1.55%
VQS,62.45,-1.65,4.75%
SMDP,98.95,-4.18,4.12%
ZLCU,309.8,4.53,-1.63%
EHMQ,400.68,-0.56,-2.72%
PPWH,14.15,-3.19,0.98%
FYDJ,92.94,3.43,2.3%
TYS,266.28,6.47,-1.46%
BSA,260.12,0.08,-1.54%
NVLK,411.45,-4.53,3.19%
PXO,232.33,-5.44,-1.96%
VBIX,198.98,1.71,-3.64%
ZWIF,314.57,-1.39,4.74%
JYXD,105.87,0.58,-3.14%
CUJJ,447.48,2.31,-2.03%
FDQF,184.05,-3.54,-0.17%
VFY,243.31,-4.4,0.68%
JEU,398.49,3.66,-2.3%
VEQH,477.89,-0.47,3.03%
BZKH,127.68,-1.59,-4.81%
XPRU,114.82,8.09,-1.39%
RZK,28.67,-9.08,0.65%
APW,478.12,6.46,0.76%
NSM,372.9,7.19,3.07%
SBCN,109.61,7.86,-0.94%
DDQB,41.82,4.6,-1.48%
HIX,114.27,-0.95,-4.6%
LQXX,302.05,-8.25,-0.53%
VOGJ,273.49,-6.84,1.37%
ZKKJ,85.3,1.05,0.62%
IQK,284.5,5.32,-3.75%
OFGE,35.12,6.43,-1.54%
NJJE,116.55,-9.93,0.94%
SWY,385.39,0.51,-0.98%
HZU,480.34,1.19,-3.9%
IBUM,357.72,-6.99,-2.56%
GKAW,40.35,3.3,3.76%
NLCA,151.03,7.5,4.51%
LMV,213.11,2.94,-0.86%
MSPE,409.19,-8.17,-4.94%
SHXA,442.94,-9.65,4.87%
NMEX,429.57,7.93,-1.34%
GUEG,311.41,-4.45,-2.66%
UTDB,432.18,-7.48,-0.78%
GKP,298.18,5.38,-1.52%
GNW,383.1,1.98,-2.32%
IZE,67.25,7.82,2.31%
UPQY,150.15,6.37,-0.98%
GHH,459.11,6.88,-4.83%
AHQ,456.28,5.03,-2.6%
KGO,97.52,0.68,-2.43%
DYG,457.18,7.37,-4.92%
RJM,82.95,-4.45,2.07%
XDCA,108.62,1.27,1.24%
OGQ,408.25,6.37,-3.81%
OBWF,414.96,6.5,-3.31%
OUV,381.6,8.35,-3.71%
NQND,275.24,4.73,-3.12%
CPY,181.38,-9.53,-0.17%
KEBX,64.29,4.33,-0.6%
QBV,327.8,5.43,0.12%
JQTY,122.47,-4.65,-3.53%
HBHC,46.91,-5.52,3.95%
LUX,450.45,-6.29,3.9%
CIH,395.63,2.57,2.84%
VYNT,490.48,2.63,1.73%
MSL,351.7,-1.56,1.69%
UBQA,391.98,9.05,1.61%
XTP,35.58,1.3,-2.19%
IVQ,406.71,-0.12,-4.92%
IAM,350.23,2.78,0.78%
QFJ,330.72,8.42,1.6%
ZVL,282.85,-4.52,0.98%
KZD,297.72,2.95,-4.77%
IGHA,277.57,4.07,3.34%
GEX,456.07,-8.28,-2.5%
ETRT,238.59,4.97,3.02%
OUF,195.56,-8.36,-4.25%
HLTU,268.86,-3.68,-2.66%
FLL,198.12,1.13,2.64%
HMMF,483.22,3.87,-4.55%
IZA,270.12,8.36,-3.07%
WVP,353.48,3.94,-4.7%
PEPY,333.29,0.64,3.67%
ADFO,287.54,9.54,3.83%
YCOD,415.69,9.17,4.32%
NYM,251.26,5.2,1.09%
FYV,116.59,4.62,-3.48%
DQER,353.45,0.43,4.48%
MFDV,224.88,1.21,-0.76%
RZXX,49.23,2.88,2.8%
QIB,249.27,4.67,-4.18%
DUP,324.79,-0.64,3.47%
YDCS,362.1,5.68,2.53%
MWU,114.87,9.76,-3.66%
DKB,349.8,2.95,2.27%
JJMK,243.9,-5.13,-3.87%
WSC,353.27,-1.57,3.8%
TDPP,449.25,-2.51,3.23%
EHXL,164.83,0.46,-2.68%
RGQL,355.54,0.12,0.5%
OOKL,496.98,-3.51,4.2%
FMHF,433.13,-0.2,4.17%
LUQ,164.37,-2.26,0.32%
IZBF,190.69,-8.05,3.28%
LVNU,414.09,7.9,-1.58%
VIA,410.8,2.76,1.27%
MZHQ,360.97,-7.66,3.6%
QUFO,269.1,-3.9,-0.59%
WUYK,410.54,-8.94,-1.24%
IIN,75.02,8.58,-3.0%
VDJ,421.38,2.68,-2.55%
OKE,407.2,8.73,-1.42%
GOV,154.86,6.35,-4.88%
FYU,167.25,1.4,0.74%
OCA,304.25,-4.34,-0.93%
DBAC,319.09,-8.28,3.29%
RMVA,164.76,-1.07,1.42%
IJD,220.47,6.75,2.66%
KPOO,323.41,2.91,3.94%
EJEU,87.8,-7.2,-1.31%
RBP,92.79,6.78,-2.0%
EAU,483.37,5.86,-3.93%
OMI,197.2,-2.84,4.41%
TSZJ,16.08,-4.68,-4.14%
TJF,384.6,-1.61,1.14%
WNP,44.53,4.93,-1.34%
GZAR,382.16,1.65,0.02%
ZAB,459.27,-2.36,2.06%
WUUJ,357.25,8.14,-4.55%
JNA,93.64,-8.36,-3.37%
CCO,296.42,8.68,-4.54%
ZDYY,41.7,1.28,0.7%
ASG,197.45,8.55,-3.5%
SQX,409.91,7.47,0.93%
AUKM,448.42,-5.84,-3.55%
VYKG,215.02,8.23,3.74%
HZCM,277.35,5.89,1.56%
AYU,132.24,-0.28,2.34%
RWJ,339.58,-5.05,-2.31%
EBGI,242.71,9.69,-1.33%
RYHV,405.73,-3.19,-0.67%
WYPI,219.22,9.2,-0.27%
YGN,402.77,-1.42,-3.31%
OIEZ,362.57,-9.53,4.59%
DBKM,24.77,4.31,3.59%
URKD,239.46,5.86,3.03%
UGWO,39.4,4.12,2.83%
FYQG,217.35,0.76,-1.27%
EBJ,177.1,1.89,-0.78%
WQX,384.65,-8.44,1.19%
AXID,38.52,-0.44,0.24%
VWXK,352.6,-5.76,-2.23%
FDXD,404.11,-8.75,2.32%
URMC,131.18,3.65,-0.52%
NVRZ,457.07,-1.94,-1.73%
AOC,466.06,7.16,-4.06%
IOP,66.62,-3.25,0.66%
SYE,439.4,0.69,-0.07%
QVZ,419.6,1.81,-2.42%
VJNX,210.69,3.85,0.45%
IQI,376.61,2.76,-4.28%
EMGX,269.83,-9.68,-1.26%
HETO,42.22,-2.21,1.08%
HBLA,143.17,-6.36,4.9%
XUMH,227.82,6.19,3.35%
KCVE,199.81,-6.25,-4.13%
GAP,471.06,-5.04,3.16%
WKIZ,311.91,7.27,-1.22%
XDB,253.41,-5.89,3.79%
GIUD,365.39,-7.49,-3.63%
NYS,358.38,-3.28,0.64%
CFM,241.96,8.4,3.22%
BRWF,378.58,3.51,2.76%
ZSS,460.17,-9.75,0.9%
SOHM,36.04,3.65,4.16%
GAPW,140.9,9.47,-1.06%
VPQ,221.5,-7.17,3.48%
TVI,180.24,-7.11,3.51%
YEH,316.22,9.03,1.5%
QLQ,144.26,9.56,-2.78%
CEG,298.93,2.85,1.12%
PJD,205.47,2.3,3.74%
TVC,348.69,1.03,3.52%
KWPY,172.05,6.51,3.96%
RFM,464.02,2.68,4.07%
OPF,447.55,5.43,4.85%
SJXK,407.92,4.9,3.92%
HQFS,104.65,7.55,1.13%
MTPK,79.17,-0.1,0.41%
KHZX,265.9,5.22,-4.26%
FNQW,217.61,-7.62,-1.78%
WRM,390.83,-0.53,0.14%
ESD,199.14,7.15,0.19%
SJRN,310.51,4.54,-3.93%
LEU,354.91,7.02,-0.75%
ZOCE,100.58,6.92,-0.69%
NOJU,121.02,-2.35,-4.24%
RVES,85.69,-7.59,1.1%
CHBI,227.24,-7.28,3.4%
RLN,281.37,9.66,-3.52%
QYZ,485.95,-5.14,0.7%
RXF,65.62,1.45,-1.88%
EVXA,380.92,8.82,-1.79%
HSXL,61.49,-7.3,0.4%
FMME,340.14,-4.24,-3.87%
VUV,365.36,4.04,4.83%
AEPG,125.45,8.24,2.71%
HMIU,140.0,-0.13,-3.66%
ICXJ,75.78,9.69,4.91%
SNCU,49.79,6.62,2.21%
LIPZ,431.62,-2.17,0.08%
IKZY,291.39,3.61,0.62%
GYNZ,489.2,2.39,-3.8%
KAZ,477.32,-8.86,-3.29%
LXY,162.09,-9.01,-4.92%
BHW,29.73,2.69,-1.48%
BXA,289.05,8.06,-2.99%
IQK,401.91,3.2,3.05%
USY,172.55,-7.76,-1.8%
HCI,296.0,3.37,-1.13%
BEUW,198.75,-5.25,-0.74%
LHX,141.66,0.85,-2.16%
WKLB,19.26,6.18,-1.75%
BKPR,472.56,-1.59,-4.78%
RMK,24.31,9.42,-4.04%
MFJA,353.9,-7.93,1.12%
FWOW,37.6,1.64,-3.78%
ZXDE,491.94,-6.95,2.32%
KCPM,140.16,3.5,3.62%
JMM,448.95,-7.09,-4.16%
LJI,465.54,-8.11,1.24%
TGEB,15.51,-1.36,-4.8%
DQC,213.59,0.95,-0.59%
NAP,23.51,5.34,-0.6%
RIP,297.46,-6.2,-1.64%
OHIO,197.77,9.25,-2.85%
EWI,431.08,-5.63,3.15%
FFII,356.26,-0.33,2.0%
WWCB,402.41,1.12,-4.55%
BZL,258.35,-6.74,-2.24%
XKYV,169.91,2.98,0.34%
XXEO,494.84,-9.23,4.65%
IEJ,64.52,2.21,-3.52%
EAQ,455.7,-5.32,-3.31%
OZKN,157.85,2.91,-2.99%
ULMR,229.87,-1.72,0.96%
STOI,132.96,-4.49,-2.7%
EUD,430.94,-3.79,0.46%
MDD,180.88,-6.66,2.18%
OKPW,67.35,-4.87,-0.8%
HTAA,19.12,-6.58,4.23%
JXA,480.39,2.04,-0.75%
PION,246.34,4.86,2.4%
QTRB,56.51,-7.64,-2.16%
YYJ,348.24,5.0,-0.29%
WSQ,182.78,-6.61,-3.93%
JRWL,97.05,-4.73,-0.18%
UIQW,480.63,5.72,3.78%
GTD,208.45,6.19,-4.89%
AJX,285.68,6.89,2.4%
LZI,123.46,-4.49,-4.96%
TKPQ,335.88,-4.35,-3.64%
REM,296.02,-3.14,-4.66%
DCX,321.83,6.87,-4.57%
AIMI,299.39,-9.91,4.62%
UFZW,373.88,-4.48,1.12%
EOI,144.73,8.42,-4.65%
VMQ,203.07,5.34,3.58%
TIYD,457.29,7.58,-3.37%
VKPS,440.91,-2.98,1.33%
EWXK,384.32,0.87,4.39%
GEW,335.93,-8.71,3.59%
KDJ,120.6,9.78,3.93%
HGLH,121.7,4.54,1.78%
LKV,309.81,-0.9,1.71%
OJU,231.39,7.76,-1.55%
LELU,151.33,2.41,-1.19%
HIX,68.77,-0.74,3.67%
MYHJ,168.02,4.02,3.11%
EBH,89.92,-7.16,-4.34%
TBMM,216.69,-0.05,-2.95%
BYR,283.91,6.58,-4.12%
VWFP,223.53,-1.8,0.85%
OEVS,461.43,8.22,-1.7%
FMP,149.87,-5.43,1.0%
NEGD,290.19,-1.02,-2.4%
QIS,338.48,2.49,-3.07%
VQQ,112.26,-0.99,4.82%
QLDJ,94.18,7.97,3.82%
UVL,142.79,-8.39,3.13%
YREG,69.72,-3.17,-0.07%
JUT,250.08,9.44,-2.74%
ALWO,52.63,-2.61,-0.09%
RRFC,297.81,8.97,3.07%
DTYQ,163.43,3.98,-3.21%
WZUV,323.94,-3.69,1.47%
FCJJ,384.74,5.37,-4.18%
JJNV,156.73,1.94,-4.65%
KLUV,215.49,-1.33,-0.14%
EUTU,451.74,-3.42,3.54%
CIPQ,481.18,-2.0,2.51%
PRN,332.61,8.74,-1.81%
NMW,301.94,6.36,4.12%
SDZ,252.25,-1.79,1.33%
ROBC,213.01,4.78,2.42%
BGX,142.4,-3.72,-1.44%
EZOF,37.63,7.7,2.17%
MZSJ,243.03,-5.98,-2.29%
TBSA,102.12,9.59,1.1%
EHIK,232.01,-6.7,-0.96%
TSZ,248.91,5.01,-1.16%
STQ,167.4,5.93,-1.88%
CSHD,212.06,8.1,1.78%
GTI,106.54,6.8,-2.76%
HZC,26.18,8.78,2.49%
EYC,106.08,9.94,-4.95%
VJUL,103.62,0.25,-4.3%
TPDD,275.04,9.45,4.47%
EYM,124.59,2.45,-4.78%
MGC,351.67,-9.2,3.86%
ZNBX,357.98,2.61,-1.68%
VFBT,46.8,-9.18,4.56%
ELEG,74.81,-9.66,-1.75%
IFO,250.93,9.88,-1.68%
WIKQ,461.63,-0.36,-3.16%
COGV,55.08,-6.89,1.15%
NKU,341.61,-9.16,-3.2%
FJV,279.51,7.75,-0.3%
TEZ,240.24,-7.82,-4.85%
YKOD,384.85,2.83,1.87%
JXEV,269.75,0.81,-3.36%
RGH,109.83,-5.95,1.88%
JRS,300.9,1.71,-2.39%
YKJ,473.15,-1.88,-4.73%
OMT,339.83,-0.11,2.66%
QMAX,123.32,1.61,1.82%
BEMA,197.11,-4.61,2.87%
FJI,83.18,-3.15,0.6%
ENF,172.32,-4.95,0.11%
DAU,407.16,1.87,1.78%
SEP,214.29,2.75,4.98%
KJBO,236.03,4.47,-3.93%
CLEU,423.7,2.33,2.17%
JVRF,280.72,-3.88,4.1%
XFH,250.04,9.21,4.73%
EKP,37.71,-1.11,-3.08%
IZY,475.08,7.97,-0.42%
TNEB,19.97,2.7,-4.87%
XIBR,164.57,-7.75,4.2%
JFR,71.24,0.27,3.8%
QEY,60.59,-6.23,-2.57%
XQTW,366.51,-8.54,-3.71%
JPH,427.1,-4.3,-0.25%
RGM,289.62,1.12,-0.62%
VAM,377.23,3.83,2.68%
NVV,456.9,6.07,1.17%
BJU,443.27,9.17,-0.18%
DUT,67.3,7.67,0.53%
SSQT,51.67,-2.69,2.66%
VLYW,313.89,-2.89,-3.09%
EFF,476.33,4.59,-1.94%
JFO,410.17,5.51,-4.93%
VQN,22.95,2.93,4.51%
BISH,172.72,2.79,0.82%
NQJ,50.72,9.39,0.68%
JEU,397.47,7.67,-1.12%
TXQ,361.13,-2.46,4.9%
FCYZ,467.65,9.86,-3.61%
TJEI,262.44,8.97,-1.55%
OOH,447.15,7.64,-2.91%
WIHM,183.56,0.1,1.73%
VQTU,269.48,-1.59,-2.27%
MROL,456.53,-7.97,0.8%
ILB,345.36,-6.9,-1.41%
UIJF,185.82,9.49,-0.11%
RTFT,145.86,-9.85,-3.28%
POED,34.93,0.04,3.95%
QEWR,229.97,0.89,4.6%
DRK,425.43,-3.33,-0.39%
OWG,479.2,-0.35,-3.19%
QZU,470.23,5.57,-0.59%
FIXB,488.77,-6.59,4.76%
WOSN,328.51,4.52,3.37%
QUP,413.23,5.67,-0.66%
XLA,292.55,-5.19,-3.93%
TRZ,479.94,5.14,-3.17%
GYYK,468.95,-8.29,-3.35%
XBSD,467.08,-2.25,-0.9%
FPO,498.13,1.82,3.86%
APA,275.39,3.3,1.83%
CJS,171.15,-8.45,-0.37%
TFF,57.24,1.56,-1.84%
TCIY,341.24,2.45,2.92%
EVOD,125.02,8.51,-2.76%
RGI,479.94,2.83,4.9%
VUM,466.81,-3.87,0.38%
TWF,291.6,3.54,-4.19%
YJCO,399.12,1.32,3.6%
DGR,266.37,-9.15,3.09%
YDGU,201.08,-6.46,2.32%
YEFH,289.27,2.14,3.9%
DBJJ,287.32,-7.9,3.7%
XEX,316.81,-5.67,1.26%
KWCF,35.84,-4.3,-0.79%
IMHQ,191.99,-2.04,-0.6%
WZOJ,486.01,1.96,-1.15%
JYCP,200.67,7.41,1.68%
ZPRU,101.63,-4.97,3.94%
TCW,274.79,3.39,4.15%
TDKP,339.06,0.18,-3.64%
WBZ,153.92,-7.3,2.15%
ZTEF,438.75,-2.14,-1.37%
KSPQ,340.82,-7.2,-3.05%
JULR,135.47,8.6,3.87%
TZJF,69.3,-8.47,4.43%
YMLZ,320.41,2.11,1.24%
RTI,421.75,7.53,2.66%
ABVB,110.71,-0.76,2.55%
JCLW,454.29,-5.63,3.74%
BEEL,303.71,2.23,2.76%
IFMA,451.87,5.86,4.3%
INIQ,373.34,-2.2,0.29%
WFB,139.76,2.5,-2.03%
QZQC,463.94,1.4,1.56%
MTO,356.6,-1.45,-4.58%
WDM,58.88,-8.18,4.73%
VOCZ,467.51,-4.45,-4.23%
OEE,90.96,-7.54,-0.18%
HDKK,497.58,-0.32,3.14%
KWB,112.53,6.42,2.55%
DWW,169.95,-9.86,2.35%
TVPQ,66.28,-2.77,0.74%
GVDH,113.73,7.9,-3.86%
TSRU,199.96,7.77,0.7%
OTXW,32.27,-4.52,0.13%
ONVH,37.58,2.05,-3.26%
RAX,455.8,2.79,-1.26%
GPLN,15.76,-6.49,2.54%
KZB,499.43,4.34,4.34%
LGI,95.99,-6.15,-4.43%
RCKC,171.97,-5.47,2.24%
ZLTC,109.46,2.95,-0.28%
ZWUY,302.26,0.14,4.4%
TYY,251.14,-4.75,2.61%
ZQS,54.77,-5.5,4.11%
CFM,151.08,-3.82,-2.84%
PSUC,189.68,7.09,0.32%
PSD,283.04,-8.98,0.68%
NZTL,374.78,-5.8,0.28%
XUMI,111.76,2.06,3.89%
IVQC,180.94,0.27,0.13%
YZN,12.16,-2.99,3.99%
TUT,31.83,-1.16,2.5%
AJI,57.52,-4.08,3.64%
SUHG,463.46,0.6,-2.49%
IWG,345.65,-5.4,1.98%
DCM,424.08,6.88,2.22%
DXX,113.1,0.5,-3.93%
FCF,480.27,5.28,2.43%
XNQ,334.26,-8.73,1.15%
VGI,23.22,-1.13,1.5%
ZVSF,61.12,0.67,0.28%
IRK,270.8,4.16,-3.12%
FWRK,447.7,4.59,-0.63%
KUE,327.59,2.23,-4.93%
PIGD,135.51,5.9,-4.54%
AYS,461.67,-6.96,-0.26%
QXT,238.76,5.35,2.1%
BQZ,24.59,-1.44,-3.84%
NGR,398.92,8.58,1.63%
OYLC,211.85,-4.61,4.48%
UMG,484.43,2.92,-4.98%
PRV,74.21,-8.43,2.27%
HNWY,129.39,-6.49,2.38%
RBID,182.98,4.41,-4.47%
SRXX,314.82,6.69,-1.26%
DEYH,77.1,7.66,3.15%
WVY,208.31,0.21,-1.07%
VOEC,406.32,-1.68,3.0%
VHHE,231.52,8.95,4.95%
OFFV,101.91,-3.09,-0.66%
NFP,93.59,8.44,0.86%
NIJ,101.65,-6.62,-1.34%
NOQ,64.12,7.51,-1.86%
NFFD,380.48,-1.14,4.55%
TSQB,89.97,1.74,-3.44%
USVP,459.91,3.86,3.88%
RTAH,279.19,-4.48,0.09%
ZEAO,344.62,-6.18,2.43%
ABA,286.97,-3.54,4.17%
OVW,37.26,1.19,-1.67%
LKO,310.96,-3.67,-4.54%
DXR,145.94,7.38,0.53%
DRH,430.28,-3.41,1.46%
VSF,212.71,-8.29,-3.13%
KPRD,168.85,-9.67,1.18%
SLXY,39.51,-9.76,-3.93%
FQC,457.97,6.12,4.86%
ZJDD,332.64,5.73,4.1%
RIM,288.86,-4.52,2.31%
HBX,293.15,7.45,-2.91%
NWRH,74.76,6.21,3.75%
NLDW,155.62,3.57,-3.91%
YUWH,240.46,6.26,1.06%
FSA,247.81,7.73,-3.71%
TCF,137.8,-7.61,-1.71%
THA,156.87,2.89,-0.21%
RMLM,171.17,-1.68,4.72%
OLLD,12.57,-3.11,-1.85%
UCX,59.87,8.1,-2.74%
CNHE,352.05,2.02,3.89%
IFCR,419.46,6.34,4.78%
JOJ,155.17,0.15,-0.85%
PAB,281.09,-3.35,4.16%
DVZ,282.45,1.66,-2.42%
BDUO,298.1,3.87,2.84%
EEA,171.31,9.68,-4.78%
TOMR,225.42,0.15,-1.86%
OFO,357.52,4.51,2.29%
TZXW,310.47,9.71,-0.39%
GSF,459.98,5.83,-0.12%
UCW,229.24,4.61,1.13%
EFYI,368.26,9.53,-4.73%
RFRE,199.06,-1.21,1.46%
KKYN,144.23,9.37,1.2%
LIH,145.68,-4.96,1.14%
BCNV,113.59,-1.86,-2.02%
WVKS,88.5,7.04,-4.18%
GUAP,477.78,9.99,-2.01%
WECI,143.77,-1.44,3.52%
KKXR,301.85,7.25,-0.48%
USA,250.68,-7.36,1.19%
VAG,46.42,-7.56,-0.72%
PHW,175.62,-1.93,1.3%
RAR,345.04,3.25,-1.74%
LEJ,415.65,-3.26,-0.09%
DJKL,83.71,7.8,3.8%
EOFX,170.31,-7.71,-2.11%
OMDS,107.26,-1.8,-4.86%
OOST,125.33,-5.46,4.17%
SCSE,443.39,-8.23,3.61%
VSSV,349.71,-5.87,-3.26%
RRB,407.39,8.95,-0.68%
UGY,133.54,-4.86,0.44%
TOG,156.06,-4.63,-3.57%
XCD,395.46,5.86,-1.83%
TBS,153.64,-8.77,0.43%
XOZ,58.94,1.92,0.4%
YOT,389.22,3.07,-2.04%
QCYO,132.64,5.94,0.12%
XJA,83.01,-3.22,-2.68%
DDQV,128.38,-7.6,-2.76%
AGQU,148.32,-0.48,2.02%
AWD,65.57,-9.29,-2.25%
WXW,377.06,-0.01,3.07%
UQNS,123.7,-9.5,-0.2%
MRC,264.55,5.52,3.72%
HNAL,104.99,-6.75,0.26%
SPAT,197.44,-6.74,-1.0%
REO,255.36,-6.16,4.24%
BVA,361.58,2.54,-3.11%
HJNS,337.77,5.74,1.27%
GBTQ,95.46,1.11,4.63%
PVJ,411.57,4.97,1.56%
OEC,464.05,-3.17,-0.83%
ARXU,338.3,-6.56,-0.85%
VZVY,128.17,6.99,2.17%
TYME,157.11,4.18,0.48%
OHZS,331.19,-9.29,-1.74%
UWGP,158.36,7.47,4.98%
BKR,106.56,2.9,0.54%
UZA,334.59,7.4,3.72%
OWSR,459.13,9.69,0.23%
TKO,389.18,4.86,-0.69%
FFGD,239.32,-1.37,-3.37%
EGR,55.31,6.14,2.88%
OFHS,491.68,5.02,-4.38%
MKMU,78.65,1.13,-2.28%
FEZO,52.33,4.31,1.49%
GQB,379.58,6.33,-2.37%
ILM,76.22,-4.17,1.56%
QWS,285.93,-3.09,0.15%
KXX,467.24,-7.89,-3.2%
YCQK,79.37,-3.2,1.16%
NEBG,431.55,1.49,-2.16%
AWSM,115.95,-9.99,0.62%
YZW,31.18,-5.12,-2.54%
MDPN,271.65,-1.45,0.05%
INF,439.87,6.07,-1.02%
JCT,334.13,-0.21,-2.79%
LCAZ,449.16,0.72,-1.76%
LRE,388.87,3.78,4.81%
CZZ,53.51,-1.41,-1.14%
REAS,42.06,3.91,-4.59%
FSS,272.63,-3.18,0.32%
GTEF,382.15,4.73,3.41%
QMLT,85.51,4.0,-3.85%
FSCI,264.77,5.59,-2.76%
WWIU,343.32,5.83,1.99%
EEJR,108.91,2.17,-2.19%
QSW,202.55,-1.36,-1.07%
MOSA,154.18,-3.64,3.81%
TFPI,405.41,-2.15,4.04%
PFH,428.48,6.18,-2.78%
ATL,160.76,2.83,1.89%
MFU,495.32,-3.05,-2.47%
ZDD,294.7,2.8,1.58%
RXD,343.77,-6.47,-3.63%
KYKI,495.37,8.04,2.53%
LOI,213.27,-1.0,2.6%
YKUA,57.22,0.32,3.46%
FGIZ,34.06,5.92,-3.99%
HQMI,255.92,-1.24,-2.81%
CKLY,121.38,5.29,3.34%
QGZN,62.43,4.95,-3.92%
HHLG,295.19,0.27,-1.28%
OPI,317.72,8.51,2.59%
FLA,452.37,2.64,4.94%
UQQ,456.13,8.19,-4.92%
WSWS,84.62,-5.17,3.57%
SSDF,35.5,-2.49,0.43%
RKS,222.9,7.04,-3.34%
ZJMY,335.03,5.42,-0.74%
TYRG,312.4,6.05,-0.35%
RIE,437.61,-8.67,-0.92%
JLF,119.54,3.39,3.3%
GDZA,195.44,-3.31,0.22%
YLM,400.57,6.26,2.95%
FTDD,148.84,8.4,1.99%
RRF,156.03,5.25,-1.71%
ASJT,102.48,1.59,-4.62%
OFB,449.16,-4.86,-2.87%
QPR,12.39,-2.38,-2.7%
BON,105.83,-2.99,-3.92%
DYF,173.77,8.07,-0.72%
UMZQ,50.56,9.84,-0.26%
PMRI,118.47,-3.0,1.43%
DUWO,61.21,7.62,-2.92%
CZA,321.62,0.91,-2.81%
IGF,71.05,0.33,-4.49%
PFY,258.79,-3.89,1.02%
QXOG,476.26,3.99,-1.8%
CHYB,267.77,9.29,-4.05%
RYU,17.25,2.83,2.12%
EDKJ,148.69,-7.73,-1.06%
EWMO,102.53,-4.16,3.2%
ZFE,165.31,1.97,1.0%
MMZC,332.37,-9.32,3.88%
CBE,182.57,2.9,4.77%
XJB,314.09,-1.4,-3.3%
ENO,58.17,0.37,4.38%
HVY,338.5,-9.04,4.41%
QWCS,435.55,-7.95,-1.55%
ZFKJ,99.73,-3.61,1.5%
XXBX,167.72,-9.13,3.95%
INLD,316.16,3.15,4.13%
BFP,426.78,1.75,-3.46%
HXTN,336.7,-6.35,-0.3%
VDY,472.53,8.53,3.05%
OXA,155.07,2.91,1.31%
UTIY,372.9,-5.27,2.93%
YMP,458.75,-5.79,3.4%
FMEW,74.52,9.22,-2.52%
RMDR,360.57,-3.13,0.96%
CIAL,354.12,-0.36,-4.9%
BCRM,344.5,5.44,3.28%
FJI,382.96,-8.33,-4.32%
JNP,464.98,5.44,0.81%
QLT,97.96,-9.5,2.91%
GUEY,256.18,1.23,3.08%
ATE,128.03,4.14,-1.03%
IVQC,94.14,2.42,-0.3%
UUQ,408.58,5.82,4.93%
OGF,439.59,-8.49,-4.35%
CMAX,151.65,3.61,0.48%
JBNC,435.57,-4.67,0.39%
IDA,64.7,-7.42,2.65%
QXC,493.8,5.93,2.67%
ECIH,415.75,-7.35,4.5%
ARPB,401.34,7.43,-2.03%
